id,flux
PROD2_m,0.4740631
PROt_c_m,0
PRPPS_c,0.7926283
PSCIT_c,0.1023041
PSD_c,0.0141112
PSERT_c,3.0681009
PSP_L_c,3.0681009
PSSA_c,0.0166792
PYK_c,3.7429359
PYRDC_c,0
PYRtps_m,2.4031682
RNDR1_c,0.0023229
RNDR2_c,0.0036257
RNDR3_c,0.0036257
RNDR4_c,0.0023229
RPE_c,1.682001
RPI_c,1.6847806
SACCD1_c,0.1055161
SACCD2_c,0.1055161
SADT_c,0.020557
SAM24MT_c,0.0206822
SBP_c,0
SERAT_c,0
SERD_L_c,0
SERt_c_m,-1.1886085
SHK3Di_c,0.1023041
SHKK_c,0.1023041
SO3R_c,0.020557
SO4t_c_e,0.0326271
SQLEy_c,0.0206823
SQLS_c,0.0206823
SSALy_c,0
STATg_c,0.0041109
SUCCt2_m,0
SUCDq9_m,1.3229092
SUCFUMt_c_m,0.0762437
SUCOAS_m,1.2466654
TALA_c,0.8921491
THRA_c,0
THRD_L_m,0.0923463
THRS_c,0.1817931
THRt_c_m,0.0923463
TKT1_c,0.8921523
TKT2_c,0.7898484
TMDS_c,0.0023229
TPI_c,2.6984394
TRDR_c,0.0324543
TRE6PP_c,0.0532343
TRE6PS_c,0.0532343
TRPO2_c,0.6021689
TRPS1_c,0.612608
TYRTA_c,0.0314782
UAGDP_c,0.0062564
UMPK_c,0.0762434
UREA_c,0.0000047
UREASE_c,0
VALt_c_m,0.2463646
VALTA_c,0.1286427
VALTA_m,0.2463646
ZN2t_c_e,0.0006092
