"rxn"	"v_exp_lb"	"v_sm"	"% diff from v_exp_lb"
"FTHFL_c"	-3.181406802582083E+00	-3.611830150791123E+00	 1.35E+01
"FTHFL_m"	-9.111507000000000E-01	-9.043553390033072E-01	-7.46E-01
"FUM_c"	 1.945138564064326E-01	 2.359438526494202E-01	 2.13E+01
"FUM_m"	 1.319966336254034E+00	 1.366309665205839E+00	 3.51E+00
"G3PAT_rm"	 2.372731753351323E-02	 2.323356933117492E-02	-2.08E+00
"G3PD1i_x"	 2.372731753351323E-02	 0.000000000000000E+00	-1.00E+02
"G5SADr_m"	-4.404266000000000E-01	-3.901883510972778E-01	-1.14E+01
"GALUi_c"	 4.782766089244437E-01	 4.581279243302223E-01	-4.21E+00
"GAPD_c"	 7.091690743638393E+00	 7.441944591843813E+00	 4.94E+00
"GARFT_c"	 7.278047360172257E-02	 7.575428721554743E-02	 4.09E+00
"GF6PTA_c"	 6.256357965772339E-03	 5.992865739133599E-03	-4.21E+00
"GHMT2r_c"	 3.432658628231193E+00	 3.882022805704574E+00	 1.31E+01
"GHMT2r_m"	-1.152975713712302E+00	-1.388006279061391E+00	 2.04E+01
"GK1_c"	 4.403605585586694E-02	 4.036247586514369E-02	-8.34E+00
"GLNS_c"	 6.240960993865745E-01	 5.530867399334863E-01	-1.14E+01
"GLUDy_c"	 4.731368502324710E+00	 5.144790724472935E+00	 8.74E+00
"GLUPRT_c"	 7.278047360172257E-02	 7.575428721554743E-02	 4.09E+00
"GLUt_c_m"	 6.113777822816027E-01	 1.084358162650388E+00	 7.74E+01
"GLYCL_m"	 2.064126413712302E+00	 2.292361618064698E+00	 1.11E+01
"GLYGS_c"	 9.077247097756850E-02	 8.694877476924848E-02	-4.21E+00
"GLYt_c_m"	 3.217102127424603E+00	 3.680367897126089E+00	 1.44E+01
"GMPS2_c"	 4.403611622312312E-02	 4.036253623239987E-02	-8.34E+00
"GRTT_c"	 4.136453333333333E-02	 3.962208297296550E-02	-4.21E+00
"H2Ot_c_m"	 9.891988820250717E+01	-1.014548792935495E+02	-2.03E+02
"HACNH_m"	 1.055161212776545E-01	 1.026396781412752E-01	-2.73E+00
"HCITR_m"	 1.055161212776545E-01	 1.026396781412752E-01	-2.73E+00
"HCITS_m"	 1.055161212776545E-01	 1.026396781412752E-01	-2.73E+00
"HICITD_m"	 1.055161212776545E-01	 1.026396781412752E-01	-2.73E+00
"HISTD_c"	 3.099649619448577E-02	 3.254071547014922E-02	 4.98E+00
"HISTP_c"	 3.099649619448577E-02	 3.254071547014922E-02	 4.98E+00
"HMGCOAR_c"	 1.240936000000000E-01	 1.188662489188965E-01	-4.21E+00
"HMGCOAS_c"	 1.240936000000000E-01	 1.188662489188965E-01	-4.21E+00
"HSDy_c"	 2.023593000000000E-01	 1.973646684692775E-01	-2.47E+00
"HSERTA_c"	 2.055699132142089E-02	 3.438117562912983E-02	 6.72E+01
"HSK_c"	 1.818023086785791E-01	 1.629834928401477E-01	-1.04E+01
"HSTPT_c"	 3.099649619448577E-02	 3.254071547014922E-02	 4.98E+00
"ICDHx_m"	 1.803862224676159E+00	 1.813562035327195E+00	 5.38E-01
"IG3PS_c"	 3.099649619448577E-02	 3.254071547014922E-02	 4.98E+00
"IGPDH_c"	 3.099649619448577E-02	 3.254071547014922E-02	 4.98E+00
"IGPS_c"	 5.968854036286570E-01	 1.846823952212022E-01	-6.91E+01
"ILETA_m"	-9.459494178611749E-02	-7.503306873875071E-02	-2.07E+01
"ILEt_c_m"	 9.459494178611749E-02	 7.503306873875071E-02	-2.07E+01
"IMPC_c"	 1.037769697962083E-01	 1.082950026856967E-01	 4.35E+00
"IMPD_c"	 4.403611622312312E-02	 4.036253623239987E-02	-8.34E+00
"IPDDI_c"	 4.136453333333334E-02	 3.962208297296550E-02	-4.21E+00
"IPMD_c"	 1.286426881921604E-01	 1.403019001431349E-01	 9.06E+00
"IPPMIa_c"	-1.286426881921604E-01	-1.403019001431349E-01	 9.06E+00
"IPPMIb_c"	-1.286426881921604E-01	-1.403019001431349E-01	 9.06E+00
"IPPS_c"	 1.286426881921604E-01	 1.403019001431349E-01	 9.06E+00
"KARA1i_m"	 2.463645834695243E-01	 2.591310955201983E-01	 5.18E+00
"KARA2i_m"	 9.459494178611749E-02	 7.503306873875071E-02	-2.07E+01
"KYN_c"	 5.864462853323326E-01	 1.684633305992639E-01	-7.13E+01
"Kt_c_e"	 2.333570493103357E-01	 2.235663835411198E-01	-4.20E+00
"LALDO3_c"	 1.205551109927789E-01	 9.347532083283062E-02	-2.25E+01
"LCADi_c"	 1.205551109927789E-01	 9.347532083283062E-02	-2.25E+01
"LEUTA_c"	-1.286426881921604E-01	-1.403019001431349E-01	 9.06E+00
"LLFC2O_c"	 1.205551109927789E-01	 9.347532083283062E-02	-2.25E+01
"LNS14DMy_c"	 2.068226666666666E-02	 1.981104148648275E-02	-4.21E+00
"LNSTLS_c"	 2.068226666666666E-02	 1.981104148648275E-02	-4.21E+00
"M1PS_c"	 4.992262389346726E-03	 3.605907826755740E-03	-2.78E+01
"MAN1PT_c"	 1.894805892809758E-01	 1.814985205972205E-01	-4.21E+00
"MAN6PI_c"	-1.894805892809758E-01	-1.814985205972205E-01	-4.21E+00
"MDH_c"	-3.885098600000000E+00	-4.220067406271270E+00	 8.62E+00
"ME1_m"	 4.816132075372440E-01	 9.043553390033072E-01	 8.78E+01
"METAT_c"	 5.406278161887105E-02	 5.178542902371954E-02	-4.21E+00
"METS_c"	 7.237144261843503E-02	 8.391827433099247E-02	 1.60E+01
"MEVK1_c"	 1.240936000000000E-01	 1.188662489188965E-01	-4.21E+00
"MG2t_c_e"	 2.458898672323784E-02	 2.371408425565249E-02	-3.56E+00
"MGSA_c"	 1.205551109927789E-01	 9.347532083283062E-02	-2.25E+01
"MI1PP_c"	 4.992262389346726E-03	 3.605907826755740E-03	-2.78E+01
"MTHFC_c"	 3.357964245980015E+00	 3.795879440692367E+00	 1.30E+01
"MTHFC_m"	 9.111507000000000E-01	 9.043553390033072E-01	-7.46E-01
"MTHFD2i_c"	 2.794436450937141E+00	 2.841792937256291E+00	 1.69E+00
"MTHFD_c"	 5.635277950428734E-01	 9.540865034360759E-01	 6.93E+01
"MTHFD_m"	 9.111507000000000E-01	 9.043553390033072E-01	-7.46E-01
"MTHFR3_c"	 7.237144261843503E-02	 8.391827433099247E-02	 1.60E+01
"NADHcplxI_c_m"	 1.409913078858061E+01	 1.471351661052567E+01	 4.36E+00
"NDPK1_c"	 2.896318558294717E-01	 3.510166210771393E+00	 1.11E+03
"NDPK2_c"	 5.584533980258473E-01	 5.295469289446320E-01	-5.18E+00
"NDPK3_c"	 1.804579918063656E-02	 1.595683192098100E-02	-1.16E+01
