index	prosynSlack(% higher/lower than measured value)
rt7838	-1.000000000000000E+00
rt7835	-1.000000000000000E+00
rt7829	-1.000000000000000E+00
rt7828	-1.000000000000000E+00
rt7825	-1.000000000000000E+00
rt7814	-1.000000000000000E+00
rt7813	-1.000000000000000E+00
rt7777	-1.000000000000000E+00
rt7776	-1.000000000000000E+00
rt7720	-1.000000000000000E+00
rt7697	-1.000000000000000E+00
rt7680	-1.000000000000000E+00
rt7678	-1.000000000000000E+00
rt7669	-1.000000000000000E+00
rt7662	-1.000000000000000E+00
rt7651	-1.000000000000000E+00
rt7648	-1.000000000000000E+00
rt7643	-1.000000000000000E+00
rt7626	-1.000000000000000E+00
rt7616	-1.000000000000000E+00
rt7614	-1.000000000000000E+00
rt7605	-1.000000000000000E+00
rt7599	-1.000000000000000E+00
rt7595	-1.000000000000000E+00
rt7589	-1.000000000000000E+00
rt7579	-1.000000000000000E+00
rt7571	-1.000000000000000E+00
rt7540	-1.000000000000000E+00
rt7537	-1.000000000000000E+00
rt7511	-1.000000000000000E+00
rt7506	-1.000000000000000E+00
rt7496	-1.000000000000000E+00
rt7480	-1.000000000000000E+00
rt7477	-1.000000000000000E+00
rt7471	-1.000000000000000E+00
rt7461	-1.000000000000000E+00
rt7460	-1.000000000000000E+00
rt7438	-1.000000000000000E+00
rt7437	-1.000000000000000E+00
rt7423	-1.000000000000000E+00
rt7415	-1.000000000000000E+00
rt7405	-1.000000000000000E+00
rt7391	-1.000000000000000E+00
rt7390	-1.000000000000000E+00
rt7388	-1.000000000000000E+00
rt7383	-1.000000000000000E+00
rt7380	-1.000000000000000E+00
rt7376	-1.000000000000000E+00
rt7368	-1.000000000000000E+00
rt7353	-1.000000000000000E+00
rt7345	-1.000000000000000E+00
rt7344	-1.000000000000000E+00
rt7325	-1.000000000000000E+00
rt7317	-1.000000000000000E+00
rt7313	-1.000000000000000E+00
rt7311	-1.000000000000000E+00
rt7295	-1.000000000000000E+00
rt7263	-1.000000000000000E+00
rt7226	-1.000000000000000E+00
rt7221	-1.000000000000000E+00
rt7207	-1.000000000000000E+00
rt7201	-1.000000000000000E+00
rt7188	-1.000000000000000E+00
rt7165	-1.000000000000000E+00
rt7150	-1.000000000000000E+00
rt7136	-1.000000000000000E+00
rt7131	-1.000000000000000E+00
rt7128	-1.000000000000000E+00
rt7120	-1.000000000000000E+00
rt7115	-1.000000000000000E+00
rt7114	-1.000000000000000E+00
rt7110	-1.000000000000000E+00
rt7081	-1.000000000000000E+00
rt7070	-1.000000000000000E+00
rt7067	-1.000000000000000E+00
rt7057	-1.000000000000000E+00
rt7056	-1.000000000000000E+00
rt7055	-1.000000000000000E+00
rt7052	-1.000000000000000E+00
rt7050	-1.000000000000000E+00
rt7041	-1.000000000000000E+00
rt7036	-1.000000000000000E+00
rt6998	-1.000000000000000E+00
rt6983	-1.000000000000000E+00
rt6980	-1.000000000000000E+00
rt6972	-1.000000000000000E+00
rt6971	-1.000000000000000E+00
rt6960	-1.000000000000000E+00
rt6946	-1.000000000000000E+00
rt6941	-1.000000000000000E+00
rt6932	-1.000000000000000E+00
rt6908	-1.000000000000000E+00
rt6884	-1.000000000000000E+00
rt6880	-1.000000000000000E+00
rt6872	-1.000000000000000E+00
rt6860	-1.000000000000000E+00
rt6850	-1.000000000000000E+00
rt6827	-1.000000000000000E+00
rt6820	-1.000000000000000E+00
rt6816	-1.000000000000000E+00
rt6812	-1.000000000000000E+00
rt6811	-1.000000000000000E+00
rt6799	-1.000000000000000E+00
rt6791	-1.000000000000000E+00
rt6769	-1.000000000000000E+00
rt6761	-1.000000000000000E+00
rt6753	-1.000000000000000E+00
rt6741	-1.000000000000000E+00
rt6698	-1.000000000000000E+00
rt6692	-1.000000000000000E+00
rt6691	-1.000000000000000E+00
rt6669	-1.000000000000000E+00
rt6665	-1.000000000000000E+00
