,old_min,old_max,new_min,new_max,diff_min,diff_max
ASNS1_c,0.07157655007578265,0.07157655007420875,0.07151889589296487,0.07151889589295612,5.765418281777901e-05,5.765418125262822e-05
ASNTRS_c,0.07157655007578265,0.07157655007420763,0.07151889589296487,0.07151889589295476,5.765418281777901e-05,5.7654181252864145e-05
ASNTRS_m,0.0,0.0,0.0,0.0,0.0,0.0
ASPCT_c,0.04903497608508241,0.04903497602928107,0.048995478910760996,0.0489954789104039,3.949717432141092e-05,3.9497118877171444e-05
ASPK_c,0.19444609650086656,0.19444609478472374,0.19428947214856127,0.19428947213419268,0.00015662435230529015,0.0001566226505310686
ASPTA_c,17.02120762311956,17.0212075878107,17.011195774452112,17.011195774472487,0.010011848667449641,0.010011813338213216
ASPTA_x,0.0,-1.1249252223462983e-10,0.0,0.0,0.0,-1.1249252223462983e-10
ASAD_c,0.1944460965008665,0.19444609478566144,0.19428947214856127,0.19428947213717765,0.00015662435230523464,0.0001566226484837896
ASPTRS_c,0.07157655007578265,0.07157655007422495,0.07151889589296487,0.07151889589295332,5.765418281777901e-05,5.7654181271626914e-05
ATPATF1_c,0.0,-4.5438979443129486e-09,0.0,-2.45847891638265e-11,0.0,-4.519313155149122e-09
ATPPRT_c,0.029772155210025936,0.02977215520937747,0.029748174041926322,0.029748174041921385,2.3981168099613398e-05,2.398116745608303e-05
ATPASEP2e_c,1.0343625232132823,1.0343625178429383,1.0340072896491306,1.0340072896244803,0.00035523356415168017,0.00035522821845801467
14BMANTF_c,0.0,-1.0316446236986352e-10,0.0,-7.81870063302044e-13,0.0,-1.0238259230656148e-10
BTS1_c,0.0,0.0,0.0,0.0,0.0,0.0
BACCL_c,0.0,0.0,0.0,0.0,0.0,0.0
C14STR_c,0.04002201425975164,0.040022014246693695,0.03998977693447648,0.03998977693436873,3.2237325275158435e-05,3.2237312324961964e-05
C22STDSy_c,0.0,-1.1641522962938428e-11,0.0,-9.844839714958494e-14,0.0,-1.1543074565788843e-11
