rxn	upper-bound
PROSYN-rt1802	0.79530530
PROSYN-rt1805	3.63428755
PROSYN-rt1814_c	1.16163320
PROSYN-rt1814_m	1.16163320
PROSYN-rt1816_c	2.52799531
PROSYN-rt1816_e	2.52799531
PROSYN-rt1816_m	2.52799531
PROSYN-rt1830	3.26343524
PROSYN-rt1837	1.15270734
PROSYN-rt1838	3.17517046
PROSYN-rt1844	4.54579154
PROSYN-rt1845	4.91031665
PROSYN-rt1850_c	1.89544192
PROSYN-rt1850_m	1.89544192
PROSYN-rt1852	4.15360944
PROSYN-rt1858	3.20252762
PROSYN-rt1860	2.31394725
PROSYN-rt1878	2.47556467
PROSYN-rt1883	2.73360884
PROSYN-rt1893	2.88933287
PROSYN-rt1896	2.41989133
PROSYN-rt1908	2.18386865
PROSYN-rt1924_c	2.60933477
PROSYN-rt1924_m	2.60933477
PROSYN-rt1925	4.62414009
PROSYN-rt1935	2.02135179
PROSYN-rt1936	2.20025036
PROSYN-rt1939_e	2.26479653
PROSYN-rt1939_v	2.26479653
PROSYN-rt1948	2.18170608
PROSYN-rt1949	2.25633724
PROSYN-rt1962	3.38085522
PROSYN-rt1963_c	3.95171212
PROSYN-rt1963_m	3.95171212
PROSYN-rt1964	4.86004035
PROSYN-rt1965	0.96765562
PROSYN-rt1970	2.78464465
PROSYN-rt1973	1.23027515
PROSYN-rt1987_e	2.22750370
PROSYN-rt1987_v	2.22750370
PROSYN-rt1991	2.21755902
PROSYN-rt2006	0.86685157
PROSYN-rt2023	2.17119190
PROSYN-rt2040	2.61945028
PROSYN-rt2053	2.38444620
PROSYN-rt2059_l	4.11071070
PROSYN-rt2059_rm	4.11071070
PROSYN-rt2060	3.43740905
PROSYN-rt2062_c	3.39303936
PROSYN-rt2062_n	3.39303936
PROSYN-rt2087	2.16787275
PROSYN-rt2092	2.50603943
PROSYN-rt2093	2.79257405
PROSYN-rt2101_c	1.61528722
PROSYN-rt2101_e	1.61528722
PROSYN-rt2107	3.61389086
PROSYN-rt2116	3.73162428
PROSYN-rt2122	1.80989818
PROSYN-rt2136	3.38565728
PROSYN-rt2146	4.18098730
PROSYN-rt2147	3.90705064
