index	prosynSlack(% higher/lower than measured value)
rt7128	-1.000000000000000E+02
rt7131	-1.000000000000000E+02
rt7136	-1.000000000000000E+02
rt7150	-1.000000000000000E+02
rt7165	-1.000000000000000E+02
rt7188	-1.000000000000000E+02
rt7221	-9.999999999999999E+01
rt7263	-1.000000000000000E+02
rt7311	-1.000000000000000E+02
rt7313	-1.000000000000000E+02
rt7317	-1.000000000000000E+02
rt7326	-1.000000000000000E+02
rt7345	-1.000000000000000E+02
rt7353	-1.000000000000000E+02
rt7368	-9.999999999999999E+01
rt7376	-1.000000000000000E+02
rt7380	-9.999999999999999E+01
rt7388	-9.999999999999999E+01
rt7390	-1.000000000000000E+02
rt7391	-1.000000000000000E+02
rt7405	-9.999999999999999E+01
rt7415	-1.000000000000000E+02
rt7423	-1.000000000000000E+02
rt7437	-1.000000000000000E+02
rt7460	-1.000000000000000E+02
rt7461	-9.999999999999999E+01
rt7471	-1.000000000000000E+02
rt7477	-1.000000000000000E+02
rt7480	-1.000000000000000E+02
rt7496	-1.000000000000000E+02
rt7506	-9.999999999999999E+01
rt7511	-1.000000000000000E+02
rt7537	-9.999999999999999E+01
rt7540	-1.000000000000000E+02
rt7571	-1.000000000000000E+02
rt7579	-1.000000000000000E+02
rt7589	-1.000000000000000E+02
rt7595	-1.000000000000000E+02
rt7599	-9.999999999999999E+01
rt7605	-9.999999999999999E+01
rt7616	-9.999999999999999E+01
rt7626	-9.999999999999999E+01
rt7643	-1.000000000000000E+02
rt7648	-1.000000000000000E+02
rt7651	-1.000000000000000E+02
rt7669	-1.000000000000000E+02
rt7678	-1.000000000000000E+02
rt7697	-1.000000000000000E+02
rt7720	-1.000000000000000E+02
rt7760	-1.000000000000000E+02
rt7776	-1.000000000000000E+02
rt7813	-1.000000000000000E+02
rt7814	-1.000000000000000E+02
rt7825	-1.000000000000000E+02
rt7828	-9.999999999999999E+01
rt7829	-1.000000000000000E+02
rt7835	-1.000000000000000E+02
rt7838	-1.000000000000000E+02
rt7840	-1.000000000000000E+02
rt7845	-1.000000000000000E+02
rt7857	-1.000000000000000E+02
rt7873	-1.000000000000000E+02
rt7877	-1.000000000000000E+02
rt7896	-1.000000000000000E+02
rt7899	-1.000000000000000E+02
rt7905	-1.000000000000000E+02
rt7907	-1.000000000000000E+02
rt7908	-9.999999999999999E+01
rt7910	-1.000000000000000E+02
rt7912	-1.000000000000000E+02
rt7913	-1.000000000000000E+02
rt7917	-1.000000000000000E+02
rt7922	-1.000000000000000E+02
rt7955	-1.000000000000000E+02
rt7962	-1.000000000000000E+02
rt7991	-1.000000000000000E+02
rt8001	-9.999999999999999E+01
rt8029	-1.000000000000000E+02
rt8036	-1.000000000000000E+02
rt8047	-9.999999999999999E+01
rt8055	-1.000000000000000E+02
rt8106	-9.999999999999999E+01
rt8107	-1.000000000000000E+02
rt8143	-1.000000000000000E+02
rt8149	-1.000000000000000E+02
rt8154	-1.000000000000000E+02
rt8160	-1.000000000000000E+02
rt8174	-1.000000000000000E+02
rt8181	-1.000000000000000E+02
rt8196	-1.000000000000000E+02
rt8223	-1.000000000000000E+02
rt8224	-1.000000000000000E+02
rt8239	-9.999999999999999E+01
rt8262	-1.000000000000000E+02
rt8267	-1.000000000000000E+02
rt8273	-1.000000000000000E+02
rt8275	-1.000000000000000E+02
rt8291	-1.000000000000000E+02
rt8298	-9.999999999999999E+01
rt8313	-9.999999999999999E+01
rt8327	-1.000000000000000E+02
rt8345	-1.000000000000000E+02
rt8364	-9.999999999999999E+01
rt8374	-9.999999999999999E+01
rt8378	-1.000000000000000E+02
rt8407	-1.000000000000000E+02
rt8431	-1.000000000000000E+02
rt8465	-1.000000000000000E+02
rt8468	-1.000000000000000E+02
rt8484	-1.000000000000000E+02
rt8485	-1.000000000000000E+02
