rxn_src	dir	enz	protein_stoich	status	comments
3OACE260_rm	FWD	rt2975	rt2975:1	protStoichAsgnAuto	 
3OACE260_rm	FWD	rt8287	rt8287:1	protStoichAsgnAuto	 
3OACR200_rm	FWD	rt8327	rt8327:1	protStoichAsgnAuto	 
3OACR220_rm	FWD	rt8327	rt8327:1	protStoichAsgnAuto	 
3OACR240_rm	FWD	rt8327	rt8327:1	protStoichAsgnAuto	 
3OACR260_rm	FWD	rt8327	rt8327:1	protStoichAsgnAuto	 
3OADPCOAT_m	FWD	rt4722	rt4722:1	protStoichAsgnAuto	 
3OADPCOAT_m	REV	rt4722	rt4722:1	protStoichAsgnAuto	 
3OAR100_c	FWD	rt0409	rt0409:1	protStoichAsgnAuto	 
3OAR100_c	REV	rt0409	rt0409:1	protStoichAsgnManual	 
3OAR100_c	FWD	rt1363	rt1363:1	protStoichAsgnAuto	 
3OAR100_c	REV	rt1363	rt1363:1	protStoichAsgnManual	 
3OAR100_c	FWD	rt2183	rt2183:1	protStoichAsgnAuto	 
3OAR100_c	REV	rt2183	rt2183:1	protStoichAsgnManual	 
3OAR100_c	FWD	rt2190	rt2190:1	protStoichAsgnAuto	 
3OAR100_c	REV	rt2190	rt2190:1	protStoichAsgnManual	 
3OAR120_c	FWD	rt0409	rt0409:1	protStoichAsgnAuto	 
3OAR120_c	REV	rt0409	rt0409:1	protStoichAsgnManual	 
3OAR120_c	FWD	rt1363	rt1363:1	protStoichAsgnAuto	 
3OAR120_c	REV	rt1363	rt1363:1	protStoichAsgnManual	 
3OAR120_c	FWD	rt2183	rt2183:1	protStoichAsgnAuto	 
3OAR120_c	REV	rt2183	rt2183:1	protStoichAsgnManual	 
3OAR120_c	FWD	rt2190	rt2190:1	protStoichAsgnAuto	 
3OAR120_c	REV	rt2190	rt2190:1	protStoichAsgnManual	 
3OAR140_c	FWD	rt0409	rt0409:1	protStoichAsgnAuto	 
3OAR140_c	REV	rt0409	rt0409:1	protStoichAsgnManual	 
3OAR140_c	FWD	rt1363	rt1363:1	protStoichAsgnAuto	 
3OAR140_c	REV	rt1363	rt1363:1	protStoichAsgnManual	 
3OAR140_c	FWD	rt2183	rt2183:1	protStoichAsgnAuto	 
3OAR140_c	REV	rt2183	rt2183:1	protStoichAsgnManual	 
3OAR140_c	FWD	rt2190	rt2190:1	protStoichAsgnAuto	 
3OAR140_c	REV	rt2190	rt2190:1	protStoichAsgnManual	 
3OAR160_c	FWD	rt0409	rt0409:1	protStoichAsgnAuto	 
3OAR160_c	REV	rt0409	rt0409:1	protStoichAsgnManual	 
3OAR160_c	FWD	rt1363	rt1363:1	protStoichAsgnAuto	 
3OAR160_c	REV	rt1363	rt1363:1	protStoichAsgnManual	 
3OAR160_c	FWD	rt2183	rt2183:1	protStoichAsgnAuto	 
3OAR160_c	REV	rt2183	rt2183:1	protStoichAsgnManual	 
3OAR160_c	FWD	rt2190	rt2190:1	protStoichAsgnAuto	 
3OAR160_c	REV	rt2190	rt2190:1	protStoichAsgnManual	 
3OAR180_c	FWD	rt0409	rt0409:1	protStoichAsgnAuto	 
3OAR180_c	REV	rt0409	rt0409:1	protStoichAsgnManual	 
3OAR180_c	FWD	rt1363	rt1363:1	protStoichAsgnAuto	 
3OAR180_c	REV	rt1363	rt1363:1	protStoichAsgnManual	 
3OAR180_c	FWD	rt2183	rt2183:1	protStoichAsgnAuto	 
3OAR180_c	REV	rt2183	rt2183:1	protStoichAsgnManual	 
3OAR180_c	FWD	rt2190	rt2190:1	protStoichAsgnAuto	 
3OAR180_c	REV	rt2190	rt2190:1	protStoichAsgnManual	 
3OAR40_c	FWD	rt0409	rt0409:1	protStoichAsgnAuto	 
3OAR40_c	REV	rt0409	rt0409:1	protStoichAsgnManual	 
3OAR40_c	FWD	rt1363	rt1363:1	protStoichAsgnAuto	 
3OAR40_c	REV	rt1363	rt1363:1	protStoichAsgnManual	 
3OAR40_c	FWD	rt2183	rt2183:1	protStoichAsgnAuto	 
3OAR40_c	REV	rt2183	rt2183:1	protStoichAsgnManual	 
3OAR40_c	FWD	rt2190	rt2190:1	protStoichAsgnAuto	 
3OAR40_c	REV	rt2190	rt2190:1	protStoichAsgnManual	 
3OAR40_m	FWD	rt1622_m	rt1622_m:1	protStoichAsgnAuto	 
3OAR60_c	FWD	rt0409	rt0409:1	protStoichAsgnAuto	 
3OAR60_c	REV	rt0409	rt0409:1	protStoichAsgnManual	 
3OAR60_c	FWD	rt1363	rt1363:1	protStoichAsgnAuto	 
3OAR60_c	REV	rt1363	rt1363:1	protStoichAsgnManual	 
3OAR60_c	FWD	rt2183	rt2183:1	protStoichAsgnAuto	 
3OAR60_c	REV	rt2183	rt2183:1	protStoichAsgnManual	 
3OAR60_c	FWD	rt2190	rt2190:1	protStoichAsgnAuto	 
3OAR60_c	REV	rt2190	rt2190:1	protStoichAsgnManual	 
3OAR60_m	FWD	rt1622_m	rt1622_m:1	protStoichAsgnAuto	 
3OAR80_c	FWD	rt0409	rt0409:1	protStoichAsgnAuto	 
3OAR80_c	REV	rt0409	rt0409:1	protStoichAsgnManual	 
3OAR80_c	FWD	rt1363	rt1363:1	protStoichAsgnAuto	 
3OAR80_c	REV	rt1363	rt1363:1	protStoichAsgnManual	 
3OAR80_c	FWD	rt2183	rt2183:1	protStoichAsgnAuto	 
3OAR80_c	REV	rt2183	rt2183:1	protStoichAsgnManual	 
3OAR80_c	FWD	rt2190	rt2190:1	protStoichAsgnAuto	 
3OAR80_c	REV	rt2190	rt2190:1	protStoichAsgnManual	 
3OAR80_m	FWD	rt1622_m	rt1622_m:1	protStoichAsgnAuto	 
3OAS100_c	FWD	rt0409	rt0409:1	protStoichAsgnAuto	 
3OAS120_c	FWD	rt0409	rt0409:1	protStoichAsgnAuto	 
3OAS140_c	FWD	rt0409	rt0409:1	protStoichAsgnAuto	 
3OAS160_c	FWD	rt0409	rt0409:1	protStoichAsgnAuto	 
3OAS180_c	FWD	rt0409	rt0409:1	protStoichAsgnAuto	 
3OAS40_c	FWD	rt0409	rt0409:1	protStoichAsgnAuto	 
3OAS40_c	REV	rt0409	rt0409:1	protStoichAsgnAuto	 
3OAS60_c	FWD	rt0409	rt0409:1	protStoichAsgnAuto	 
3OAS80_c	FWD	rt0409	rt0409:1	protStoichAsgnAuto	 
4ABUTNt_c_m	FWD	SPONT	zeroCost	protStoichAsgnAuto	
4ABUTNt_c_m	REV	SPONT	zeroCost	protStoichAsgnAuto	
4ABUTt_c_m	FWD	SPONT	zeroCost	protStoichAsgnAuto	
4ABUTt_c_m	REV	SPONT	zeroCost	protStoichAsgnAuto	
4ABUTtps_e	FWD	rt2901	rt2901:1	protStoichAsgnAuto	
4ABUTtps_e	FWD	rt4390	rt4390:1	protStoichAsgnAuto	
4ABZt_c_e	FWD	SPONT	zeroCost	protStoichAsgnAuto	
4ABZt_c_e	REV	SPONT	zeroCost	protStoichAsgnAuto	
4ABZt_c_m	FWD	SPONT	zeroCost	protStoichAsgnAuto	
