Rxn,13ppd,2phetoh,3hppa,3hppb,4hbz,arte,btd,btoh,citm,cou,hdca,hxdcol,ibutoh,lac__L,muco,nrgn,polyhb,retcln,rsvtol,sesqt,skm,styr,tal
2PHETOHt_c_e,,-3.845522270196026,,,,,,,,,,,,,,,,,,,,,
3HACD200_rm,0.005580284100694,0.0055802841007,0.005580284100694,0.005580284100694,0.005580284100694,0.005580284100694,0.005580284100694,0.005580284100694,0.005580284100694,0.005580284100694,0.005580284100694,0.005580284100694,0.005580284100694,0.005580284100694,0.0055802841007,0.005580284100694,0.005580284100694,0.005580284100694,0.005580284100694,0.005580284100694,0.005580284100694,0.005580284100694,0.005580284100694
3HACD220_rm,0.005580284100694,0.0055802841007,0.005580284100694,0.005580284100694,0.005580284100694,0.005580284100694,0.005580284100694,0.005580284100694,0.005580284100694,0.005580284100694,0.005580284100694,0.005580284100694,0.005580284100694,0.005580284100694,0.0055802841007,0.005580284100694,0.005580284100694,0.005580284100694,0.005580284100694,0.005580284100694,0.005580284100694,0.005580284100694,0.005580284100694
3HACD240_rm,0.004287930754341,0.004287930754345,0.004287930754341,0.004287930754341,0.004287930754341,0.004287930754341,0.004287930754341,0.004287930754341,0.004287930754341,0.004287930754341,0.004287930754341,0.004287930754341,0.004287930754341,0.004287930754341,0.004287930754345,0.004287930754341,0.004287930754341,0.004287930754341,0.004287930754341,0.004287930754341,0.004287930754341,0.004287930754341,0.004287930754341
3HACD260_rm,0.000467741395629,0.000467741395629,0.000467741395629,0.000467741395629,0.000467741395629,0.000467741395629,0.000467741395629,0.000467741395629,0.000467741395629,0.000467741395629,0.000467741395629,0.000467741395629,0.000467741395629,0.000467741395629,0.000467741395629,0.000467741395629,0.000467741395629,0.000467741395629,0.000467741395629,0.000467741395629,0.000467741395629,0.000467741395629,0.000467741395629
3HAD100_c,0.070796180845377,0.070796180845477,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,1.627648456364719,1.577385600964719,0.070796180845377,0.070796180845377,0.070796180845477,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845388,0.070796180845377,0.070796180845377,0.070796180845377
3HAD120_c,0.070796180845377,0.070796180845477,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,1.627648456364719,1.577385600964719,0.070796180845377,0.070796180845377,0.070796180845477,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845388,0.070796180845377,0.070796180845377,0.070796180845377
3HAD140_c,0.070796180845377,0.070796180845477,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,1.627648456364719,1.577385600964719,0.070796180845377,0.070796180845377,0.070796180845477,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845388,0.070796180845377,0.070796180845377,0.070796180845377
3HAD160_c,0.070796180845377,0.070796180845477,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,1.627648456364719,1.577385600964719,0.070796180845377,0.070796180845377,0.070796180845477,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845388,0.070796180845377,0.070796180845377,0.070796180845377
3HAD180_c,0.058184770724054,0.058184770724137,0.058184770724054,0.058184770724054,0.058184770724054,0.058184770724054,0.058184770724054,0.058184770724054,0.058184770724054,0.058184770724054,0.058184770724054,0.058184770724054,0.058184770724054,0.058184770724054,0.058184770724137,0.058184770724054,0.058184770724054,0.058184770724054,0.058184770724054,0.058184770724063,0.058184770724054,0.058184770724054,0.058184770724054
3HAD40_c,0.070796180845377,0.070796180845477,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,1.627648456364719,1.577385600964719,0.070796180845377,0.070796180845377,0.070796180845477,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845388,0.070796180845377,0.070796180845377,0.070796180845377
3HAD60_c,0.070796180845377,0.070796180845477,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,1.627648456364719,1.577385600964719,0.070796180845377,0.070796180845377,0.070796180845477,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845388,0.070796180845377,0.070796180845377,0.070796180845377
3HAD80_c,0.070796180845377,0.070796180845477,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,1.627648456364719,1.577385600964719,0.070796180845377,0.070796180845377,0.070796180845477,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845377,0.070796180845388,0.070796180845377,0.070796180845377,0.070796180845377
3HPPA1,,,11.488529045564636,,,,,,,,,,,,,,,,,,,,
3HPPA2,,,11.488529045564636,,,,,,,,,,,,,,,,,,,,
3HPPA3,,,11.488529045564636,,,,,,,,,,,,,,,,,,,,
3HPPB1,,,,12.576625959005112,,,,,,,,,,,,,,,,,,,
3HPPB2,,,,12.576625959005112,,,,,,,,,,,,,,,,,,,
3HPPB3,,,,12.576625959005112,,,,,,,,,,,,,,,,,,,
3HPPB4,,,,12.576625959005112,,,,,,,,,,,,,,,,,,,
3MOBDC_c,,,,,,,,,,,,,6.855907752974317,,,,,,,,,,
