,fluxes,reduced_costs,abs,unique
GLYt_c_m,1.8457721290425093,-2.0,1.8457721290425093,False
GCALDt_c_m,-8.028829296652384e-06,2.0,8.028829296652384e-06,True
GCALDt_c_e,-8.028829296652384e-06,2.0,8.028829296652384e-06,True
EX_gcald_e,8.028829296652384e-06,-2.0,8.028829296652384e-06,True
EX_glx_e,0.0,2920.666666666657,0.0,True
GLXt_c_e,0.0,2.0,0.0,True
GLXt_c_x,0.0,-2.0,0.0,True
GUAt_c_m,0.0,-2.0,0.0,False
GSNK_c,0.0,-1.999999999998181,0.0,True
GSNt_c_m,0.0,-2.0,0.0,False
GSNt_c_e,0.0,-2.0,0.0,False
Ht_c_e,0.0,515.3333333333331,0.0,False
Ht_c_r,-0.056616922314637205,2.0,0.056616922314637205,False
Ht_c_g,0.0,-2.0,0.0,False
Ht_c_l,0.0,2.0,0.0,False
Ht_c_n,0.0,2.0,0.0,False
Ht_c_x,0.0,2.0,0.0,True
Ht_c_v,0.0,2.0,0.0,False
EX_h_e,0.3355437481153308,-2.0,0.3355437481153308,False
HXCCOAt_c_r,7.92700456078009e-05,-2.0,7.92700456078009e-05,False
EX_hxdcal_e,-0.0,-2.0,0.0,False
HDCAt_c_e,0.0,-2.0,0.0,True
HDCEAt_c_e,0.0,-2.0,0.0,True
HISt_c_m,0.0,-2.0,0.0,False
H2O2t_c_n,0.0,-2.0,0.0,False
HMGCOAt_c_m,-0.008258807043010491,2.0,0.008258807043010491,True
EX_hxan_e,0.0,13890.000000000016,0.0,True
HXANt_c_e,0.0,2.0,0.0,True
EX_id3acald_e,0.0,31968.66666666663,0.0,True
ID3ACALDt_c_m,0.0,2.0,0.0,True
ID3ACALDt_c_e,0.0,2.0,0.0,False
IND3ACt_c_m,0.0,-2.0,0.0,False
INSt_c_e,0.0,-2.0,0.0,False
INOSHPt_c_n,0.0,-2.0,0.0,True
INSK_c,0.0,515.3333333333339,0.0,False
EX_fe2_e,-8.474875368684954e-05,2.0,8.474875368684954e-05,False
EX_iamac_e,-0.0,-2.0,0.0,False
IAMOHt_c_e,0.0,-2.0,0.0,False
IAMOHt_c_m,0.0,-2.0,0.0,False
EX_iamoh_e,0.0,1038.0,0.0,False
EX_ibutoh_e,0.0,1034.0,0.0,True
EX_ibutac_e,-0.0,-2.0,0.0,True
IBUTOHt_c_e,0.0,-2.0,0.0,True
IBUTOHt_c_m,0.0,-2.0,0.0,True
EX_ibtald_e,-0.0,-2.0,0.0,True
PHCHGS_m,0.0,-2.0,0.0,True
AOBUTDs_c,0.0,-2.0,0.0,False
EX_ala__L_e,0.0,7606.000000000003,0.0,True
ALAt_c_m,0.06202800354683472,-2.0,0.06202800354683472,False
EX_abt__L_e,-0.0,-2.0,0.0,False
ABTt_c_e,0.0,2.0,0.0,True
ARABLt_c,0.0,-2.0,0.0,False
EX_arab__L_e,-0.0,-2.0,0.0,False
EX_arg__L_e,0.0,18477.333333333307,0.0,True
EX_asn__L_e,0.0,9736.666666666652,0.0,True
EX_asp__L_e,0.0,8340.666666666659,0.0,True
CRNt_c_m,0.0,174.00000000001455,0.0,False
EX_cys__L_e,0.0,12219.999999999964,0.0,True
E4HGLUt_c_m,0.0,-2.0,0.0,False
E4HGLUt_c_x,0.0,2.0,0.0,False
EX_sbt__L_e,0.0,1026.0,0.0,False
G5SADr_c,0.026791940528828134,-2.0,0.026791940528828134,False
EX_glu__L_e,0.0,12238.000000000002,0.0,True
GLUt_c_n,0.0,-2.0,0.0,False
EX_gln__L_e,0.0,12761.333333333334,0.0,True
GLNt_c_n,0.0,2.0,0.0,False
EX_his__L_e,0.0,17971.333333333292,0.0,True
HOMt_c_e,0.0,2.0,0.0,False
EX_ile__L_e,0.0,19594.666666666642,0.0,True
ILEt_c_m,0.0,142.00000000000728,0.0,False
EX_leu__L_e,0.0,18756.66666666666,0.0,True
EX_lys__L_e,0.0,19343.99999999998,0.0,True
MALt_c_e,0.0,-2.0,0.0,True
EX_met__L_e,0.0,20663.999999999953,0.0,True
EX_phe__L_e,0.0,26783.999999999985,0.0,True
EX_pro__L_e,0.0,14772.666666666662,0.0,True
PROt_c_m,0.0,-2.0,0.0,False
EX_ser__L_e,0.0,6779.333333333317,0.0,False
SERt_c_r,0.0001585400912156018,-2.0,0.0001585400912156018,False
SBTLt_c_e,0.0,-2.0,0.0,False
EX_srb__L_e,-0.0,-2.0,0.0,False
SRBt_c_e,0.0,2.0,0.0,False
EX_thr__L_e,0.0,11159.333333333318,0.0,True
EX_trp__L_e,0.0,33235.999999999956,0.0,True
EX_tyr__L_e,0.0,25518.666666666653,0.0,True
EX_val__L_e,0.0,14769.999999999998,0.0,True
EX_lanost_e,0.0,117136.66666666653,0.0,True
EX_ddca_e,0.0,35758.66666666677,0.0,True
LYSt_c_m,0.0,-2.0,0.0,False
MALOAAta_x,0.0,-2.0,0.0,True
EX_malt_e,0.0,29744.66666666666,0.0,True
MANNANt_c_r,-0.05975022677282328,2.0,0.05975022677282328,False
METt_c_m,0.0,-2.0,0.0,False
MGSA_c,0.0,-2.0,0.0,True
EX_inost_e,-0.00044340535397615515,2.0,0.00044340535397615515,False
EX_Nfortyr2_e,-0.0,-2.0,0.0,True
NADPt_c_r,-0.003133304458186074,2.0,0.003133304458186074,False
NADPHt_c_r,0.003133304458186074,-2.0,0.003133304458186074,False
NH4t_c_m,-0.9228855547543152,2.0,0.9228855547543152,False
NCAMt_c_n,0.0,-2.0,0.0,False
EX_nac_e,-0.0007735713306452725,2.0,0.0007735713306452725,False
EX_nmn_e,0.0,15421.333333333318,0.0,False
NMNt_c_n,0.0,-2.0,0.0,False
NMNt_c_x,0.0,2.0,0.0,False
NMNt_c_e,0.0,-2.0,0.0,False
NDP4_c,0.0,515.3333333333321,0.0,False
NTP4_c,0.0,515.3333333333321,0.0,True
ACRNt_c_m,0.0,-2.0,0.0,False
O2t_c_r,0.0015983602473361573,-2.0,0.0015983602473361573,False
O2t_c_m,3.1208354830150915,-2.0,3.1208354830150915,False
O2t_c_e,3.140015971583866,-2.0,3.140015971583866,False
O2t_c_x,0.0,-2.0,0.0,True
OCDCAt_c_e,0.0,2.0,0.0,True
EX_octa_e,0.0,24258.000000000073,0.0,False
OAAt_c_e,0.0,2.0,0.0,False
EX_oaa_e,0.0,7578.666666666664,0.0,False
GTHOXt_c_e,0.0,-2.0,0.0,False
TRDOXt_c_x,0.0,-2.0,0.0,False
EX_o2_e,-3.140015971583866,2.0,3.140015971583866,False
EX_hdca_e,0.0,70840.53566276457,0.0,False
EX_hdcea_e,0.0,67266.84626666644,0.0,True
PMTCOAt_c_r,0.0001585400912156018,-2.0,0.0001585400912156018,False
PAN4Pt_c_m,0.0,2.0,0.0,True
PTPATi_m,0.0,-2.0,0.0,False
PAPt_c,0.0,2.0,0.0,True
EX_pectin_e,-0.0,-2.0,0.0,False
EX_pheac_e,0.0,6695.999999999985,0.0,True
EX_pacald_e,-0.0,-2.0,0.0,True
PACALDt_c_e,0.0,2.0,0.0,True
PACALDt_c_m,0.0,2.0,0.0,True
PHEt_c_m,0.0,-2.0,0.0,False
EX_pi_e,-0.05058619656655772,2.0,0.05058619656655772,False
PIt_c_v,0.0,-2.0,0.0,False
EX_k_e,-0.07693020325273188,2.0,0.07693020325273188,False
