id,type,val,vLB,vUB
'DIL_cit_m1.f','net',12.31222621,0,10000000
'DIL_cit_m2.f','net',77.688359,0,10000000
'DIL_citicit_d1.f','net',100,0,10000000
'DIL_citicit_d2.f','net',100,0,10000000
'DIL_citicit_i1.f','net',12.62266467,0,10000000
'DIL_citicit_i2.f','net',4.854819982,0,10000000
'DIL_citr__L_c1.f','net',99.9999999,0,10000000
'DIL_citr__L_c2.f','net',97.95763425,0,10000000
'DIL_citr__L_d1.f','net',100,0,10000000
'DIL_citr__L_d2.f','net',100,0,10000000
'DIL_citr__L_i1.f','net',1.00E-07,0,10000000
'DIL_citr__L_i2.f','net',2.04236575,0,10000000
'DIL_dhap_c1.f','net',100.0000117,0,10000000
'DIL_dhap_c2.f','net',55.38468321,0,10000000
'DIL_dhap_d1.f','net',100,0,10000000
'DIL_dhap_d2.f','net',100,0,10000000
'DIL_dhap_i1.f','net',-1.17E-05,0,10000000
'DIL_dhap_i2.f','net',44.61531679,0,10000000
'DIL_f6p_c1.f','net',98.96666603,0,10000000
'DIL_f6p_c2.f','net',98.84983629,0,10000000
'DIL_f6p_d1.f','net',100,0,10000000
'DIL_f6p_d2.f','net',100,0,10000000
'DIL_f6p_i1.f','net',1.033333975,0,10000000
'DIL_f6p_i2.f','net',1.150163715,0,10000000
'DIL_fdp_c1.f','net',93.97385636,0,10000000
'DIL_fdp_c2.f','net',83.391808,0,10000000
'DIL_fdp_d1.f','net',100,0,10000000
'DIL_fdp_d2.f','net',100,0,10000000
'DIL_fdp_i1.f','net',6.02614364,0,10000000
'DIL_fdp_i2.f','net',16.608192,0,10000000
'DIL_fum_c2.f','net',1.00E-07,0,10000000
'DIL_fum_d2.f','net',100,0,10000000
'DIL_fum_i2.f','net',6.24780548,0,10000000
'DIL_fum_m2.f','net',93.75219442,0,10000000
'DIL_g3p_c1.f','net',91.52037657,0,10000000
'DIL_g3p_c2.f','net',43.85585802,0,10000000
'DIL_g3p_d1.f','net',100,0,10000000
'DIL_g3p_d2.f','net',100,0,10000000
'DIL_g3p_i1.f','net',8.479623429,0,10000000
'DIL_g3p_i2.f','net',56.14414198,0,10000000
'DIL_g6p_c1.f','net',95.77016049,0,10000000
'DIL_g6p_c2.f','net',88.16407195,0,10000000
'DIL_g6p_d1.f','net',100,0,10000000
'DIL_g6p_d2.f','net',100,0,10000000
'DIL_g6p_i1.f','net',4.229839509,0,10000000
'DIL_g6p_i2.f','net',11.83592805,0,10000000
'DIL_gln__L_c1.f','net',99.20979978,0,10000000
'DIL_gln__L_c2.f','net',98.95165877,0,10000000
'DIL_gln__L_d1.f','net',100,0,10000000
'DIL_gln__L_d2.f','net',100,0,10000000
'DIL_gln__L_i1.f','net',0.790200225,0,10000000
'DIL_gln__L_i2.f','net',1.048341228,0,10000000
'DIL_glu__L_c1.f','net',1.00E-07,0,10000000
'DIL_glu__L_c2.f','net',56.26686565,0,10000000
'DIL_glu__L_d1.f','net',100,0,10000000
'DIL_glu__L_d2.f','net',100,0,10000000
'DIL_glu__L_i1.f','net',0.50047668,0,10000000
'DIL_glu__L_i2.f','net',1.975208525,0,10000000
'DIL_glu__L_m1.f','net',99.49952322,0,10000000
'DIL_glu__L_m2.f','net',41.75792582,0,10000000
'DIL_gly_c2.f','net',71.9258185,0,10000000
'DIL_gly_d2.f','net',100,0,10000000
'DIL_gly_i2.f','net',17.87503203,0,10000000
'DIL_gly_m2.f','net',10.19914947,0,10000000
'DIL_glyc3p_c1.f','net',96.63118823,0,10000000
'DIL_glyc3p_c2.f','net',70.64578285,0,10000000
'DIL_glyc3p_d1.f','net',100,0,10000000
'DIL_glyc3p_d2.f','net',100,0,10000000
'DIL_glyc3p_i1.f','net',3.368811767,0,10000000
'DIL_glyc3p_i2.f','net',29.35421715,0,10000000
'DIL_his__L_c1.f','net',97.26909038,0,10000000
'DIL_his__L_c2.f','net',97.19408762,0,10000000
'DIL_his__L_d1.f','net',100,0,10000000
'DIL_his__L_d2.f','net',100,0,10000000
'DIL_his__L_i1.f','net',2.730909624,0,10000000
'DIL_his__L_i2.f','net',2.805912384,0,10000000
'DIL_icit_c1.f','net',1.00E-07,0,10000000
'DIL_icit_c2.f','net',1.00E-07,0,10000000
'DIL_icit_m1.f','net',1.753917021,0,10000000
'DIL_icit_m2.f','net',17.45682081,0,10000000
'DIL_ile__L_c1.f','net',62.70517359,0,10000000
'DIL_ile__L_c2.f','net',63.01622866,0,10000000
'DIL_ile__L_d1.f','net',100,0,10000000
'DIL_ile__L_d2.f','net',100,0,10000000
'DIL_ile__L_i1.f','net',1.332862007,0,10000000
'DIL_ile__L_i2.f','net',1.00E-07,0,10000000
'DIL_ile__L_m1.f','net',35.9619644,0,10000000
'DIL_ile__L_m2.f','net',36.98377124,0,10000000
'DIL_leu__L_c1.f','net',98.53537549,0,10000000
'DIL_leu__L_c2.f','net',99.9999999,0,10000000
'DIL_leu__L_d1.f','net',100,0,10000000
'DIL_leu__L_d2.f','net',100,0,10000000
'DIL_leu__L_i1.f','net',1.46462451,0,10000000
'DIL_leu__L_i2.f','net',1.00E-07,0,10000000
'DIL_lys__L_c1.f','net',98.71257548,0,10000000
'DIL_lys__L_c2.f','net',96.46730347,0,10000000
