id	name	uniprot	MW (g/mmol)	type	conc (g/gDW)	vtrans (mmol/gDW/h)	c_avg
A0A0K3C7W9	A0A0K3C7W9	A0A0K3C7W9	149.80288000000004	truedata_enz	2.7331200000000003e-06	6.933014905988456e-09	5.84e-06
A0A0K3C7X9	A0A0K3C7X9	A0A0K3C7X9	49.86627	truedata_enz	2.39616e-05	1.8259653268632287e-07	5.12e-05
A0A0K3C7Y2	A0A0K3C7Y2	A0A0K3C7Y2	49.70228999999999	truedata_enz	2.5974000000000003e-06	1.98584813697719e-08	5.55e-06
A0A0K3C801	A0A0K3C801	A0A0K3C801	74.39786	truedata_enz	4.104360000000001e-06	2.0963732021324275e-08	8.77e-06
A0A0K3C825	A0A0K3C825	A0A0K3C825	66.69298	truedata_enz	6.7392e-06	3.839828419722735e-08	1.44e-05
A0A0K3C828	A0A0K3C828	A0A0K3C828	39.85145999999999	truedata_enz	6.177600000000001e-06	5.890594723505741e-08	1.32e-05
A0A0K3C829	A0A0K3C829	A0A0K3C829	40.56669999999999	truedata_enz	7.3008000000000005e-06	6.838870304954559e-08	1.56e-05
A0A0K3C839	A0A0K3C839	A0A0K3C839	90.52495000000002	truedata_enz	2.29788e-06	9.645897622699596e-09	4.91e-06
A0A0K3C868	A0A0K3C868	A0A0K3C868	79.93327	truedata_enz	8.470800000000001e-07	4.0269890122098104e-09	1.81e-06
A0A0K3C884	A0A0K3C884	A0A0K3C884	112.15559	truedata_enz	9.032400000000002e-06	3.060312909949474e-08	1.93e-05
A0A0K3C892	A0A0K3C892	A0A0K3C892	39.17685999999999	truedata_enz	3.43044e-06	3.3273907097199735e-08	7.33e-06
A0A0K3C896	A0A0K3C896	A0A0K3C896	66.90736	truedata_enz	4.338360000000001e-07	2.463969285292381e-09	9.270000000000001e-07
A0A0K3C898	A0A0K3C898	A0A0K3C898	69.92229999999999	truedata_enz	1.8486000000000002e-06	1.0046408656465823e-08	3.95e-06
A0A0K3C8A9	A0A0K3C8A9	A0A0K3C8A9	58.82012	truedata_enz	2.11068e-05	1.3635783129990213e-07	4.51e-05
A0A0K3C8D0	A0A0K3C8D0	A0A0K3C8D0	50.31031000000001	truedata_enz	6.9264e-06	5.231595670946968e-08	1.48e-05
A0A0K3C8F0	A0A0K3C8F0	A0A0K3C8F0	53.64754999999999	truedata_enz	1.79244e-05	1.269633375615476e-07	3.83e-05
A0A0K3C8F4	A0A0K3C8F4	A0A0K3C8F4	104.64861000000002	truedata_enz	0.0004712760000000001	1.7112972642445992e-06	0.001007
A0A0K3C8H3	A0A0K3C8H3	A0A0K3C8H3	53.9438	truedata_enz	1.24488e-06	8.76939333157842e-09	2.66e-06
A0A0K3C8I3	A0A0K3C8I3	A0A0K3C8I3	45.981469999999995	truedata_enz	5.8032e-07	4.795879731552733e-09	1.24e-06
A0A0K3C8J3	A0A0K3C8J3	A0A0K3C8J3	146.01505000000003	truedata_enz	2.2557600000000002e-05	5.870551015117961e-08	4.82e-05
A0A0K3C8L0	A0A0K3C8L0	A0A0K3C8L0	41.30969	truedata_enz	2.6582400000000004e-07	2.445264537206646e-09	5.68e-07
A0A0K3C8L3	A0A0K3C8L3	A0A0K3C8L3	48.66895999999999	truedata_enz	1.75968e-05	1.3739319681373922e-07	3.76e-05
A0A0K3C8L9	A0A0K3C8L9	A0A0K3C8L9	64.8993	truedata_enz	6.084000000000001e-07	3.562318853978395e-09	1.3e-06
A0A0K3C8M6	A0A0K3C8M6	A0A0K3C8M6	56.53405	truedata_enz	2.1060000000000002e-06	1.4155716775996061e-08	4.5e-06
A0A0K3C8R7	A0A0K3C8R7	A0A0K3C8R7	75.42463999999998	truedata_enz	2.1106800000000003e-06	1.0633904251979198e-08	4.51e-06
A0A0K3C8T2	A0A0K3C8T2	A0A0K3C8T2	200.60979	truedata_enz	8.049600000000001e-07	1.5247750371504803e-09	1.72e-06
A0A0K3C8V0	A0A0K3C8V0	A0A0K3C8V0	44.02444999999998	truedata_enz	1.1325600000000002e-07	9.775767783583902e-10	2.42e-07
A0A0K3C8V7	A0A0K3C8V7	A0A0K3C8V7	134.21395	truedata_enz	7.534799999999999e-06	2.1333281674520417e-08	1.61e-05
A0A0K3C8W3	A0A0K3C8W3	A0A0K3C8W3	10.51659	truedata_enz	5.2416e-06	1.893967531300545e-07	1.12e-05
A0A0K3C8X3	A0A0K3C8X3	A0A0K3C8X3	88.93506	truedata_enz	5.0544e-06	2.1596342319890496e-08	1.08e-05
A0A0K3C8Z1	A0A0K3C8Z1	A0A0K3C8Z1	34.28877	truedata_enz	1.2542400000000003e-06	1.389992116952577e-08	2.68e-06
A0A0K3C906	A0A0K3C906	A0A0K3C906	224.80247	truedata_enz	2.3540400000000003e-08	3.979205388624067e-11	5.03e-08
A0A0K3C921	A0A0K3C921	A0A0K3C921	144.81963000000002	truedata_enz	3.6036000000000005e-06	9.45567945450489e-09	7.7e-06
A0A0K3C933	A0A0K3C933	A0A0K3C933	96.29836	truedata_enz	2.14812e-05	8.476630339291344e-08	4.59e-05
A0A0K3C963	A0A0K3C963	A0A0K3C963	135.52863	truedata_enz	5.1012e-07	1.430292625255638e-09	1.09e-06
A0A0K3C970	A0A0K3C970	A0A0K3C970	84.52781	truedata_enz	5.5692e-06	2.503668319337742e-08	1.19e-05
A0A0K3C974	A0A0K3C974	A0A0K3C974	223.90234999999996	truedata_enz	2.7752400000000002e-05	4.7100497158694416e-08	5.93e-05
A0A0K3C988	A0A0K3C988	A0A0K3C988	244.058	truedata_enz	3.32748e-06	5.180909455948996e-09	7.11e-06
A0A0K3C991	A0A0K3C991	A0A0K3C991	26.61493	truedata_enz	1.7456400000000003e-07	2.4923725142241595e-09	3.73e-07
A0A0K3C997	A0A0K3C997	A0A0K3C997	12.890779999999998	truedata_enz	3.36492e-07	9.919257019358023e-09	7.19e-07
A0A0K3C9A7	A0A0K3C9A7	A0A0K3C9A7	17.62119	truedata_enz	2.1340800000000003e-06	4.6021318651010526e-08	4.56e-06
A0A0K3C9C0	A0A0K3C9C0	A0A0K3C9C0	33.80273	truedata_enz	5.1012000000000006e-05	5.734613742736165e-07	0.000109
A0A0K3C9C2	A0A0K3C9C2	A0A0K3C9C2	136.95023999999998	truedata_enz	8.4708e-06	2.3504186630122013e-08	1.81e-05
A0A0K3C9D3	A0A0K3C9D3	A0A0K3C9D3	33.85385999999999	truedata_enz	3.74868e-07	4.207787236078842e-09	8.01e-07
A0A0K3C9D9	A0A0K3C9D9	A0A0K3C9D9	41.271640000000005	truedata_enz	2.94372e-05	2.7103686696239834e-07	6.29e-05
A0A0K3C9N0	A0A0K3C9N0	A0A0K3C9N0	115.98997	truedata_enz	3.5989200000000004e-05	1.1790584996271661e-07	7.69e-05
A0A0K3C9N5	A0A0K3C9N5	A0A0K3C9N5	127.53617999999996	truedata_enz	4.65192e-06	1.3860612729658365e-08	9.94e-06
A0A0K3C9N6	A0A0K3C9N6	A0A0K3C9N6	63.67195999999999	truedata_enz	4.8204000000000005e-06	2.8768581962923717e-08	1.03e-05
A0A0K3C9Q7	A0A0K3C9Q7	A0A0K3C9Q7	86.06062000000001	truedata_enz	2.75184e-06	1.215072817276938e-08	5.88e-06
A0A0K3C9R3	A0A0K3C9R3	A0A0K3C9R3	131.50329	truedata_enz	5.850000000000001e-06	1.6904520031399975e-08	1.25e-05
A0A0K3C9V9	A0A0K3C9V9	A0A0K3C9V9	141.13891	truedata_enz	2.9671200000000007e-07	7.988623406543243e-10	6.340000000000001e-07
A0A0K3C9W0	A0A0K3C9W0	A0A0K3C9W0	28.710100000000004	truedata_enz	1.0389600000000001e-05	1.375142545654665e-07	2.22e-05
A0A0K3C9Y2	A0A0K3C9Y2	A0A0K3C9Y2	40.95451	truedata_enz	1.7316e-05	1.606680192242564e-07	3.7e-05
A0A0K3C9Z0	A0A0K3C9Z0	A0A0K3C9Z0	28.02295	truedata_enz	5.5692e-06	7.552010048906341e-08	1.19e-05
A0A0K3C9Z2	A0A0K3C9Z2	A0A0K3C9Z2	113.41432999999998	truedata_enz	1.4274e-06	4.782570244871173e-09	3.05e-06
A0A0K3CA02	A0A0K3CA02	A0A0K3CA02	42.796519999999994	truedata_enz	0.000548028	4.8660648108771474e-06	0.001171
