id	rxn_src	enz	protein_stoich
RXN-3OACE200_rm_FWD-rt2975	3OACE200_rm	rt2975	rt2975:1
RXN-3OACE200_rm_FWD-rt8287	3OACE200_rm	rt8287	rt8287:1
RXN-3OACE220_rm_FWD-rt2975	3OACE220_rm	rt2975	rt2975:1
RXN-3OACE220_rm_FWD-rt8287	3OACE220_rm	rt8287	rt8287:1
RXN-3OACE240_rm_FWD-rt2975	3OACE240_rm	rt2975	rt2975:1
RXN-3OACE240_rm_FWD-rt8287	3OACE240_rm	rt8287	rt8287:1
RXN-3OACE260_rm_FWD-rt2975	3OACE260_rm	rt2975	rt2975:1
RXN-3OACE260_rm_FWD-rt8287	3OACE260_rm	rt8287	rt8287:1
RXN-3OACR200_rm_FWD-rt8327	3OACR200_rm	rt8327	rt8327:1
RXN-3OACR220_rm_FWD-rt8327	3OACR220_rm	rt8327	rt8327:1
RXN-3OACR240_rm_FWD-rt8327	3OACR240_rm	rt8327	rt8327:1
RXN-3OACR260_rm_FWD-rt8327	3OACR260_rm	rt8327	rt8327:1
RXN-3OADPCOAT_m_FWD-rt4722	3OADPCOAT_m	rt4722	rt4722:1
RXN-3OADPCOAT_m_REV-rt4722	3OADPCOAT_m	rt4722	rt4722:1
RXN-3OAR100_c_FWD-rt0409	3OAR100_c	rt0409	rt0409:1
RXN-3OAR100_c_FWD-rt1363	3OAR100_c	rt1363	rt1363:1
RXN-3OAR100_c_FWD-rt2183	3OAR100_c	rt2183	rt2183:1
RXN-3OAR100_c_FWD-rt2190	3OAR100_c	rt2190	rt2190:1
RXN-3OAR100_c_REV-rt0409	3OAR100_c	rt0409	rt0409:1
RXN-3OAR100_c_REV-rt1363	3OAR100_c	rt1363	rt1363:1
RXN-3OAR100_c_REV-rt2183	3OAR100_c	rt2183	rt2183:1
RXN-3OAR100_c_REV-rt2190	3OAR100_c	rt2190	rt2190:1
RXN-3OAR120_c_FWD-rt0409	3OAR120_c	rt0409	rt0409:1
RXN-3OAR120_c_FWD-rt1363	3OAR120_c	rt1363	rt1363:1
RXN-3OAR120_c_FWD-rt2183	3OAR120_c	rt2183	rt2183:1
RXN-3OAR120_c_FWD-rt2190	3OAR120_c	rt2190	rt2190:1
RXN-3OAR120_c_REV-rt0409	3OAR120_c	rt0409	rt0409:1
RXN-3OAR120_c_REV-rt1363	3OAR120_c	rt1363	rt1363:1
RXN-3OAR120_c_REV-rt2183	3OAR120_c	rt2183	rt2183:1
RXN-3OAR120_c_REV-rt2190	3OAR120_c	rt2190	rt2190:1
RXN-3OAR140_c_FWD-rt0409	3OAR140_c	rt0409	rt0409:1
RXN-3OAR140_c_FWD-rt1363	3OAR140_c	rt1363	rt1363:1
RXN-3OAR140_c_FWD-rt2183	3OAR140_c	rt2183	rt2183:1
RXN-3OAR140_c_FWD-rt2190	3OAR140_c	rt2190	rt2190:1
RXN-3OAR140_c_REV-rt0409	3OAR140_c	rt0409	rt0409:1
RXN-3OAR140_c_REV-rt1363	3OAR140_c	rt1363	rt1363:1
RXN-3OAR140_c_REV-rt2183	3OAR140_c	rt2183	rt2183:1
RXN-3OAR140_c_REV-rt2190	3OAR140_c	rt2190	rt2190:1
RXN-3OAR160_c_FWD-rt0409	3OAR160_c	rt0409	rt0409:1
RXN-3OAR160_c_FWD-rt1363	3OAR160_c	rt1363	rt1363:1
RXN-3OAR160_c_FWD-rt2183	3OAR160_c	rt2183	rt2183:1
RXN-3OAR160_c_FWD-rt2190	3OAR160_c	rt2190	rt2190:1
RXN-3OAR160_c_REV-rt0409	3OAR160_c	rt0409	rt0409:1
RXN-3OAR160_c_REV-rt1363	3OAR160_c	rt1363	rt1363:1
RXN-3OAR160_c_REV-rt2183	3OAR160_c	rt2183	rt2183:1
RXN-3OAR160_c_REV-rt2190	3OAR160_c	rt2190	rt2190:1
RXN-3OAR180_c_FWD-rt0409	3OAR180_c	rt0409	rt0409:1
RXN-3OAR180_c_FWD-rt1363	3OAR180_c	rt1363	rt1363:1
RXN-3OAR180_c_FWD-rt2183	3OAR180_c	rt2183	rt2183:1
RXN-3OAR180_c_FWD-rt2190	3OAR180_c	rt2190	rt2190:1
RXN-3OAR180_c_REV-rt0409	3OAR180_c	rt0409	rt0409:1
RXN-3OAR180_c_REV-rt1363	3OAR180_c	rt1363	rt1363:1
RXN-3OAR180_c_REV-rt2183	3OAR180_c	rt2183	rt2183:1
RXN-3OAR180_c_REV-rt2190	3OAR180_c	rt2190	rt2190:1
RXN-3OAR40_c_FWD-rt0409	3OAR40_c	rt0409	rt0409:1
RXN-3OAR40_c_FWD-rt1363	3OAR40_c	rt1363	rt1363:1
RXN-3OAR40_c_FWD-rt2183	3OAR40_c	rt2183	rt2183:1
RXN-3OAR40_c_FWD-rt2190	3OAR40_c	rt2190	rt2190:1
RXN-3OAR40_c_REV-rt0409	3OAR40_c	rt0409	rt0409:1
RXN-3OAR40_c_REV-rt1363	3OAR40_c	rt1363	rt1363:1
RXN-3OAR40_c_REV-rt2183	3OAR40_c	rt2183	rt2183:1
RXN-3OAR40_c_REV-rt2190	3OAR40_c	rt2190	rt2190:1
RXN-3OAR40_m_FWD-rt1622	3OAR40_m	rt1622	rt1622:1
RXN-3OAR60_c_FWD-rt0409	3OAR60_c	rt0409	rt0409:1
RXN-3OAR60_c_FWD-rt1363	3OAR60_c	rt1363	rt1363:1
RXN-3OAR60_c_FWD-rt2183	3OAR60_c	rt2183	rt2183:1
RXN-3OAR60_c_FWD-rt2190	3OAR60_c	rt2190	rt2190:1
RXN-3OAR60_c_REV-rt0409	3OAR60_c	rt0409	rt0409:1
RXN-3OAR60_c_REV-rt1363	3OAR60_c	rt1363	rt1363:1
RXN-3OAR60_c_REV-rt2183	3OAR60_c	rt2183	rt2183:1
RXN-3OAR60_c_REV-rt2190	3OAR60_c	rt2190	rt2190:1
RXN-3OAR60_m_FWD-rt1622	3OAR60_m	rt1622	rt1622:1
RXN-3OAR80_c_FWD-rt0409	3OAR80_c	rt0409	rt0409:1
RXN-3OAR80_c_FWD-rt1363	3OAR80_c	rt1363	rt1363:1
RXN-3OAR80_c_FWD-rt2183	3OAR80_c	rt2183	rt2183:1
RXN-3OAR80_c_FWD-rt2190	3OAR80_c	rt2190	rt2190:1
RXN-3OAR80_c_REV-rt0409	3OAR80_c	rt0409	rt0409:1
RXN-3OAR80_c_REV-rt1363	3OAR80_c	rt1363	rt1363:1
RXN-3OAR80_c_REV-rt2183	3OAR80_c	rt2183	rt2183:1
RXN-3OAR80_c_REV-rt2190	3OAR80_c	rt2190	rt2190:1
RXN-3OAR80_m_FWD-rt1622	3OAR80_m	rt1622	rt1622:1
RXN-3OAS100_c_FWD-rt0409	3OAS100_c	rt0409	rt0409:1
RXN-3OAS120_c_FWD-rt0409	3OAS120_c	rt0409	rt0409:1
RXN-3OAS140_c_FWD-rt0409	3OAS140_c	rt0409	rt0409:1
RXN-3OAS160_c_FWD-rt0409	3OAS160_c	rt0409	rt0409:1
RXN-3OAS180_c_FWD-rt0409	3OAS180_c	rt0409	rt0409:1
RXN-3OAS40_c_FWD-rt0409	3OAS40_c	rt0409	rt0409:1
RXN-3OAS40_c_REV-rt0409	3OAS40_c	rt0409	rt0409:1
RXN-3OAS60_c_FWD-rt0409	3OAS60_c	rt0409	rt0409:1
RXN-3OAS80_c_FWD-rt0409	3OAS80_c	rt0409	rt0409:1
RXN-4ABUTNt_c_m_FWD-SPONT	4ABUTNt_c_m		zeroCost
RXN-4ABUTNt_c_m_REV-SPONT	4ABUTNt_c_m		zeroCost
RXN-4ABUTt_c_m_FWD-SPONT	4ABUTt_c_m		zeroCost
RXN-4ABUTt_c_m_REV-SPONT	4ABUTt_c_m		zeroCost
RXN-4ABUTtps_e_FWD-rt2901	4ABUTtps_e	rt2901	rt2901:1
RXN-4ABUTtps_e_FWD-rt4390	4ABUTtps_e	rt4390	rt4390:1
RXN-4ABZt_c_e_FWD-SPONT	4ABZt_c_e		zeroCost
RXN-4ABZt_c_e_REV-SPONT	4ABZt_c_e		zeroCost
RXN-4ABZt_c_m_FWD-SPONT	4ABZt_c_m		zeroCost
RXN-4ABZt_c_m_REV-SPONT	4ABZt_c_m		zeroCost
RXN-4AMPMS_c_FWD-rt2779	4AMPMS_c	rt2779	rt2779:1
RXN-4CMCOAL_c_FWD-rt3465	4CMCOAL_c	rt3465	rt3465:1
RXN-4CMCOAL_c_FWD-rt5332	4CMCOAL_c	rt5332	rt5332:1
RXN-4CMCOAL_c_FWD-rt6434	4CMCOAL_c	rt6434	rt6434:1
RXN-4CMCOAL_c_FWD-rt8267	4CMCOAL_c	rt8267	rt8267:1
RXN-4CMCOAL_x_FWD-rt3465	4CMCOAL_x	rt3465	rt3465:1
RXN-4CMCOAL_x_FWD-rt5332	4CMCOAL_x	rt5332	rt5332:1
RXN-4CMCOAL_x_FWD-rt6434	4CMCOAL_x	rt6434	rt6434:1
RXN-4CMCOAL_x_FWD-rt8267	4CMCOAL_x	rt8267	rt8267:1
RXN-4DPMIPPH_c_FWD-rt1973	4DPMIPPH_c	rt1973	rt1973:1
RXN-4DPMIPPH_c_REV-rt1973	4DPMIPPH_c	rt1973	rt1973:1
RXN-4H2OGLTt_c_m_FWD-SPONT	4H2OGLTt_c_m		zeroCost
RXN-4H2OGLTt_c_m_REV-SPONT	4H2OGLTt_c_m		zeroCost
RXN-4H2OGLTt_c_x_FWD-SPONT	4H2OGLTt_c_x		zeroCost
RXN-4H2OGLTt_c_x_REV-SPONT	4H2OGLTt_c_x		zeroCost
RXN-4HBZCOAS_c_FWD-UNKNOWN	4HBZCOAS_c	UNKNOWN	zeroCost
RXN-4HBZF_c_FWD-UNKNOWN	4HBZF_c	UNKNOWN	zeroCost
RXN-4HBZNPT_m_FWD-rt6869	4HBZNPT_m	rt6869	rt6869:1
RXN-4HBZt_c_m_FWD-SPONT	4HBZt_c_m		zeroCost
RXN-4HBZt_c_m_REV-SPONT	4HBZt_c_m		zeroCost
RXN-4HGLSD_m_REV-rt0201	4HGLSD_m	rt0201	rt0201:1
RXN-4HPEOR_c_FWD-SPONT	4HPEOR_c		zeroCost
RXN-4HPLH_c_FWD-UNKNOWN	4HPLH_c	UNKNOWN	zeroCost
RXN-4HPPCL_c_FWD-SPONT	4HPPCL_c		zeroCost
RXN-4HPPR_c_FWD-UNKNOWN	4HPPR_c	UNKNOWN	zeroCost
RXN-4HPPR_c_REV-UNKNOWN	4HPPR_c	UNKNOWN	zeroCost
